# ADR-0029 grid evidence: 4 families x 5 markets x 3 timeframes
# commit=8ca08f76f5fb45e894462f98413a4f313e77c6d8  errors=0
family,market,timeframe,declaredDepth,status,eligible,bestDSR,regimeClass,allocation,reasons
rsi-mean-reversion,KRW-DOGE,60m,1500,OK,5/9,0.35119339443109804,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
rsi-mean-reversion,KRW-DOGE,240m,4000,OK,5/9,0.541611521243943,ROBUST,null,dsr|trades|ROBUSTedge
time-series-momentum,KRW-BTC,1d,2000,OK,0/12,0.9405510562639082,FRAGILE,null,bench|dsr|fragile
time-series-momentum,KRW-BTC,60m,1500,OK,6/12,0.29485226777524026,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
time-series-momentum,KRW-BTC,240m,4000,OK,12/12,0.29419350253267806,FRAGILE,null,dsr|fragile
time-series-momentum,KRW-ETH,1d,2000,OK,0/12,0.7144357841043927,FRAGILE,null,bench|dsr|fragile
time-series-momentum,KRW-ETH,60m,1500,OK,0/12,0.5788593814897733,INSUFFICIENT,null,bench|dsr|regimeCov|trades|narrow
time-series-momentum,KRW-ETH,240m,4000,OK,12/12,0.3697547741414464,FRAGILE,null,dsr|fragile
time-series-momentum,KRW-XRP,1d,2000,OK,12/12,0.4036663445721543,FRAGILE,null,dsr|fragile
time-series-momentum,KRW-XRP,60m,1500,OK,9/12,0.27127853014555714,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
time-series-momentum,KRW-XRP,240m,4000,OK,12/12,0.30742059801769234,FRAGILE,null,dsr|fragile
time-series-momentum,KRW-ADA,1d,2000,OK,12/12,0.23144940427963812,FRAGILE,null,dsr|fragile
time-series-momentum,KRW-ADA,60m,1500,OK,9/12,0.14731745872590307,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
time-series-momentum,KRW-ADA,240m,4000,OK,12/12,0.35143300463605,FRAGILE,null,dsr|fragile
time-series-momentum,KRW-DOGE,1d,2000,OK,12/12,0.6462789124939954,FRAGILE,null,dsr|fragile
time-series-momentum,KRW-DOGE,60m,1500,OK,11/12,0.19678770338777601,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
time-series-momentum,KRW-DOGE,240m,4000,OK,12/12,0.26695551065234757,ROBUST,null,dsr|ROBUSTedge
